матроса: срамота, 
насилий: лисаний, 
чисел: числе, 
стиле: лести, листе, 
целит: телиц, 
галстучке: галстучек, 
выдавали: видывала, 
мерин: мирен, ремни, 
дрожали: рождали, 
лизала: залила, 
залами: мазали, 
собрал: бросал, 
смехи: сихем, 
мести: мисте, 
симея: мисея, 
пишем: пешим, 
азария: зараия, 
фирме: рифме, 
возмог: мозгов, 
мерит: ритме, 
местечек: местечке, 
спиритов: испортив, 
забросила: забросали, 
отсвечивали: величавости, 
сетки: кисет, истек, 
пески: испек, 
искре: секир, 
трике: крите, 
указан: наказу, 
оказан: закона, 
дожде: одежд, 
ермил: мерил, 
метил: мелит, летим, 
перочинным: непрочными, 
милое: имело, 
тушу: шуту, 
петли: лепит, 
шипел: плеши, 
терли: трели, 
силен: несли, 
лионе: олени, 
ценил: линце, 
устраняли: растянули, 
василья: явилась, 
бернард: брандер, 
щетиною: нищетою, 
провидя: приводя, 
припомнила: припоминал, 
мишке: мешки, 
прилетало: пролетали, 
сикле: кесил, 
мелки: килем, 
кипел: пекли, 
щелки: клещи, 
кельи: кеиль, 
расцвет: царстве, старцев, 
встреча: черства, 
кеиля: елкия, 
немки: никем, 
забрались: разбилась, 
ариоху: ахиору, 
свалить: славить, 
асироф: сарофи, 
истоар: сирота, 
убог: богу, 
терпелив: прилетев, 
елиил: лилеи, 
илием: имели, 
минеи: имени, 
провалялся: прославляя, 
иреия: иерия, 
прибило: пробили, 
бегу: убег, губе, 
гобе: боге, 
греб: брег, герб, берг, 
топчете: потечет, 
поборюсь: просьбою, 
вручает: врачует, 
заспорили: запросили, 
камзол: замолк, козлам, 
раскинул: рискнула, 
подвигла: погладив, 
прогоняли: пригоняло, 
дубу: буду, 
египте: египет, 
добр: бодр, брод, 
бранилась: набрались, 
полпути: потупил, 
ножом: можно, 
выиграл: игрывал, гаврилы, 
дубе: беду, буде, 
бред: бедр, 
легионов: ленивого, 
ступая: пустая, 
небе: бене, 
пудов: подув, 
рядов: ярдов, 
духов: входу, 
повидать: подавить, 
кресел: кресле, 
стекле: скелет, 
выход: входы, 
иеиил: иеили, 
взаперти: запретив, 
проникал: проникла, 
нечестия: стечения, 
буре: беру, 
поручил: упрочил, 
боте: обет, 
обер: боре, 
буен: небу, 
небо: бено, 
буле: белу, 
бело: боле, 
кобе: боек, 
дежурство: дружество, 
избе: бизе, 
проходили: приходило, 
опустил: пустило, 
реакционной: акционерной, 
надзора: роздана, 
встречали: расчетлив, 
бревен: бревне, 
красном: скромна, насморк, 
зыби: избы, 
пошутил: потушил, 
стоймя: смятой, 
побеждала: подбежала, 
тележки: жилетке, 
крылу: укрыл, 
музыкант: замкнуты, 
корсета: красоте, 
настя: снята, 
боли: било, либо, 
замучила: измучала, 
завидев: изведав, 
опутать: утопать, 
билгана: нагибал, 
грудой: другой, 
повалил: поливал, 
быти: биты, 
глупом: плугом, 
тибу: убит, 
бури: руби, 
обит: тибо, 
уступить: упустить, 
волнами: манилов, ливаном, миновал, налимов, наловим, 
дивят: видят, 
колос: сокол, 
клопы: пылко, 
полку: купол, 
стенка: станке, 
отбрось: робость, 
горит: торги, 
видом: двоим, дивом, 
видно: дивно, дивон, 
входи: двоих, 
стоги: гости, 
видны: дивны, 
отобрав: таборов, 
пробует: потребу, 
обидела: обедали, 
окажется: жестокая, 
согрета: сгорает, 
толку: котлу, 
разлуке: зеркалу, 
незанятый: затеянный, 
кривою: кровию, 
приятном: принятом, 
гонит: ногти, 
срамно: романс, 
ратном: матрон, 
неопрятно: потерянно, 
насор: сарон, 
собрав: барсов, 
стона: сонат, 
видит: дивит, 
бодаете: обедает, 
напрягал: напрягла, 
восходил: всходило, 
вожди: дожив, 
многи: гоним, 
нарастает: тарантасе, арестанта, 
антон: тонна, 
колом: молок, 
тулуп: плуту, 
луком: умолк, 
дворе: ведро, вроде, древо, 
слуги: гусли, 
всыпали: выписал, 
словечек: словечке, 
дувре: древу, вреду, 
веред: вреде, древе, дерев, ведре, 
покорено: покорное, 
ударить: удирать, 
могли: могил, 
дивен: виден, 
вдели: видел, 
побеждал: подбежал, 
ратным: мартын, 
ольги: гильо, 
актеры: ракеты, кареты, рыкает, 
видного: дивного, 
правилу: управил, 
прислав: справил, 
треска: креста, 
воскресли: воскресил, 
ударю: дарую, 
напоминал: напомнила, 
сардису: рассуди, 
удержаны: радужные, 
проспали: прописал, 
горки: игрок, 
стройте: тростей, 
бюро: борю, 
убор: буро, 
собр: сбор, 
внушали: внушила, 
задрали: раздали, 
кормом: мокром, 
простила: пристало, стропила, 
просияла: опирался, 
сделайте: седлайте, 
поручила: поручали, 
альбом: мольба, 
скитаться: тискаться, 
поправить: пропивать, 
суряки: рискуя, 
необрезаны: обрезанные, 
закроет: розетка, 
поникло: конопли, 
тикнуло: откинул, 
побегами: погибаем, 
мудро: морду, 
коленки: окинлек, 
столице: целости, 
сорвали: рисовал, соврали, 
творила: отравил, 
охватил: хватило, 
ядром: рядом, 
худом: духом, 
допрос: подрос, 
кореян: корнея, 
барство: рабство, 
близко: близок, 
родом: дором, 
бла: лба, бал, 
боа: оба, 
раб: бра, бар, 
два: дав, 
ави: ива, 
вла: вал, 
аге: гае, 
гам: маг, 
еда: аде, 
лад: дал, 
над: дан, дна, 
рад: дар, ард, 
сад: дас, 
гаю: юга, 
ела: але, 
мае: меа, 
чад: дач, 
дая: яда, 
жар: ржа, 
зал: зла, 
мелхоле: охмелел, 
ила: али, 
ярбу: буря, 
аин: ани, 
ира: аир, 
богатели: отбегали, 
прибегал: прибегла, 
ока: коа, 
акр: рак, 
акт: тка, так, 
пал: лап, 
сла: лас, 
нам: ман, 
мах: хам, 
она: ноа, 
сна: нас, сан, 
правило: пировал, 
яма: мая, 
яан: ная, 
сап: пас, пса, 
тра: рат, рта, 
ура: ару, руа, 
уса: асу, аус, 
шарфе: шефар, шафер, 
шатре: шатер, решат, 
театр: трате, 
тарсе: ераст, арест, 
сфера: фарес, 
шах: хаш, 
маутерн: матрену, 
изволил: изловил, зловили, 
звонили: вонзили, 
обе: бое, 
наготой: тайного, 
бок: коб, 
бук: куб, 
колу: укол, 
спутались: пустилась, 
был: лбы, 
роб: бор, бро, 
носите: отнеси, осенит, 
тройку: крутой, 
царствует: расцветут, 
бух: хуб, 
пасет: спета, 
потешил: пошлите, 
стимула: умастил, 
посетил: поселит, постели, 
казенном: незнаком, 
ободрял: одобрял, 
станку: кнауст, 
галлона: наглола, 
отлагал: глотала, 
стерпеть: пестреть, 
дев: две, 
лев: вел, 
рве: рев, 
все: вес, сев, 
зов: воз, 
вин: нив, 
ивы: выи, 
куму: муку, 
ров: вор, 
вот: тов, 
ленивей: велений, 
рву: вру, 
топить: отпить, 
стучался: случатся, 
подоле: подлое, 
романсе: срамное, 
знавали: назвали, 
досель: делось, 
разверз: вразрез, 
дег: где, 
год: дог, 
лагерем: гремела, 
изг: зги, 
обилен: белино, 
лги: игл, 
игр: риг, 
гул: луг, лгу, 
аналогий: аглаиной, 
предание: напереди, 
опг: пог, 
рог: гор, 
воротились: отворились, 
окно: окон, 
сенат: стена, стане, тесна, 
терна: рента, 
анеру: арену, 
пашне: пашен, пшена, 
заломить: замолить, 
псовой: воспой, 
еноха: нехао, 
замучило: измучало, 
